Sheet: 2026
Brima & Carefree,4 Hour,6 Hour,8 Hour,,Plan names to correspond,,,
Fee,1400.0,1900.0,2200.0,,Brima 4 Hour,,,
Cleaning Fee,75.0,75.0,75.0,,Brima 6 Hour,,,
Tax (8.225%),=B13,=C13,=D13,,Brima Full day (8 Hour),,,
Fuel Deposit,500.0,500.0,500.0,,Carefree 4 Hour,,,
Total Collected,=sum(B2:B5),=sum(C2:C5),=sum(D2:D5),,Carefree 6 Hour,,,
,,,,,Carefree Full Day (8 Hour),,,
Payout,,,,,,,,
Capitan/First Mate (Hours*$125),=4*125,=6*125,=8*125,,,,,
Cleaning Fee,75.0,75.0,75.0,,,,,
Boat (85%) after capt.,=0.85*(B2-B9),=0.85*(C2-C9),=0.85*(D2-D9),,,,,
Cove Charters (15%) after capt.,=0.15*(B2-B9),=0.15*(C2-C9),=0.15*(D2-D9),,,,,
Tax,=sum(B9:B12)*0.08225,=sum(C9:C12)*0.08225,=sum(D9:D12)*0.08225,,,,,
Fuel Deposit,=B5,=C5,=D5,,,,,
Total Collected,=sum(B9:B14),=sum(C9:C14),=sum(D9:D14),,,,,
Hose Monkey and Izzzyokayyy,4 Hour,6 Hour,8 Hour,,Hose Monkey 4 hour,,,
Fee,1300.0,1750.0,2100.0,,Hose Monkey 6 Hour,,,
Cleaning Fee,75.0,75.0,75.0,,Hose Monkey Full Day (8 Hour),,,
Tax (8.225%),=B29,=C29,=D29,,Izzzyokayyy 4 Hour,,,
Fuel Deposit,500.0,500.0,500.0,,Izzzyokayyy 6 Hour,,,
Total Collected,=sum(B18:B21),=sum(C18:C21),=sum(D18:D21),,Izzzyokayyy Full Day (8 Hour),,,
Payout,,,,,,,,
Capitan/First Mate (Hours*$125),=4*125,=6*125,=8*125,,,,,
Cleaning Fee,75.0,75.0,75.0,,,,,
Boat (85%) after capt.,=(B18-B25)*0.85,=(C18-C25)*0.85,=(D18-D25)*0.85,,,,,
Cove Charters (15%) after capt.,=(B18-B25)*0.15,=(C18-C25)*0.15,=(D18-D25)*0.15,,,,,
Tax,=sum(B25:B28)*0.08225,=sum(C25:C28)*0.08225,=sum(D25:D28)*0.08225,,,,,
Fuel Deposit,500.0,500.0,500.0,,,,,
,=sum(B25:B30),=sum(C25:C30),=sum(D25:D30),,,,,
If you got a chance and SUSFU,4 Hour,6 Hour,8 Hour,,If you got a chance 4 Hour,,,
Fee,=B41+B43+B44,=C41+C43+C44,=D41+D43+D44,,If you got a chance 6 Hour,,,
Cleaning Fee,75.0,75.0,75.0,,If you got a chance Full Day (8 Hour),,,
Tax (8.225%),=B45,=C45,=D45,,SUSFU 4 Hour,,,
Fuel Deposit,500.0,500.0,500.0,,SUSFU 6 Hour,,,
Total Collected,=sum(B34:B37),=sum(C34:C37),=sum(D34:D37),,SUSFU Full Day (8 Hour),,,
Payout,,,,,,,,
Capitan/First Mate (Hours*$125),=4*125,=6*125,=8*125,,,,,
Cleaning Fee,75.0,75.0,75.0,,,,,
Boat (85%) after capt.,425.0,467.5,510.0,,,,,
Cove Charters (15%) after capt.,75.0,82.5,90.0,,,,,
Tax,=SUM(B41:B44)*0.08225,=SUM(C41:C44)*0.08225,=SUM(D41:D44)*0.08225,,,,,
Fuel Deposit,500.0,500.0,500.0,,,,,
,=sum(B41:B46),=sum(C41:C46),=sum(D41:D46),,,,,
Our Time,4 Hour,6 Hour,8 Hour,,,,,
Fee,1300.0,1950.0,2600.0,,,,,
Cleaning Fee,75.0,75.0,75.0,,,,,
Tax (8.225%),113.09,166.55,220.02,,,,,
Fuel Deposit,500.0,500.0,500.0,,,,,
Total Collected,1988.09,2691.55,3395.02,,,,,
Payout,,,,,,,,
Capitan/First Mate (Hours*$125),500.0,750.0,1000.0,,,,,
Cleaning Fee,75.0,75.0,75.0,,,,,
Boat (85%) after capt.,680.0,1020.0,1360.0,,,,,
Cove Charters (15%) after capt.,120.0,180.0,240.0,,,,,
Tax,113.09,166.55,220.02,,,,,
Fuel Deposit,500.0,500.0,500.0,,,,,
,1988.09,2691.55,3395.02,,,,,

Sheet: 2025
Brima & Carefree,4 Hour,6 Hour,8 Hour,,,,,,,
Fee,1100.0,1375.0,1650.0,,,,,,,
Cleaning Fee,75.0,75.0,75.0,,,,,,,
Tax (8.225%),=sum(B2:B3)*0.08225,=sum(C2:C3)*0.08225,=sum(D2:D3)*0.08225,,,,,,,
Fuel Deposit,500.0,500.0,500.0,,,,,,,
